ID,dados_hist_ONS_19312018,sub,id_prevs_2018,bacia_name,PREVS_ONS_OUT,,prod,mais_running,posto_id,sar_ana_posto_id,sar_ana_posto_id_bkp,usina_id_vazao_natural_history,mais_calculated,,,,,bacia_name_ena,ID_vazao_Previvaz_2018_ALEX,Previvaz_ID,nome_Previvaz_2018_ALEX,volume_name_history,reservatorio_amontante,postos_amontante,,,id_prevs_2018,bacia_name_gab,ree,,,usina_name,usina_name_historical,usina_name_bdo,,,lat,lon,"lat,lon – quantum",Nome – quantum,Nome – Rio – quantum,Incremental,artificial,calculated,soma incre,ID,NOME,NOME ABREVIADO,RESERVATORIO,RIO,BACIA,SUBSISTEMA,REE,CIDADE,SITUAÇÃO,TIPO DE SÉRIE,ALGORITMO,calculado,expension,FÓRMULA,USA CHUVA-VAZÃO?,PRODUTIBILIDADE,
62,TAQUARUCU (62),SE,TAQUARUCU,paranapanema,62,,0.2243,62,62,19056,19056,62,,,,,,paranapanema,62,62,TAQUARUCU,,61,61,,,62,Paranapanema,12,,,taquarucu,taquaruçu,TAQUARUÇU,,,-22.54472222,-51.99583333,"-22.54472222,-51.99583333",UHE Taquaruçu,UHE Taquaruçu (Rio Paranapanema),0,0,0,,62,Taquaruçu (Escola Politécnica),TAQUARUCU,TAQUARUÇU,Paranapanema,Paranapanema,SE,Paranapanema,Itaguaje-PR,Operação,Natural,Regredido,,,,,0.2243,
63,ROSANA (63),SE,ROSANA,paranapanema,63,,0.1863,63,63,19057,19057,63,,,,,,paranapanema,63,63,ROSANA,,61,62,,,63,Paranapanema,12,,,rosana,rosana,ROSANA,,,-22.60222222,-52.86861111,"-22.60222222,-52.86861111",UHE Rosana,UHE Rosana (Rio Paranapanema),0,0,0,,63,Rosana,ROSANA,ROSANA,Paranapanema,Paranapanema,SE,Paranapanema,Rosana-SP,Operação,Natural,Vazão obs.,,,,S,0.1863,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,Salto Grande do Rio Chopim - expansão,,(só aparece em VAZOES.DAT),Chopim,Iguaçu,S,Iguacu,CoronelVivida-PR,Expansão,Natural,,,,,,,
66,,SE,ITAIPU ART.,,,,1.0342,,,,,,,,,,,,,66,ITAIPU ART.,,,,,,66,,,,,,,,,,,,,,,,1,0,,66,Itaipu - artificial,ITAIPU,(só aparece em VAZOES.DAT),Paraná,Paraná,SE,Itaipu,FozdoIguacu-PR,Operação,Artificial,,,,"66 = vaz(266) – 0,1 x [vaz(161) – vaz(117) – vaz(118)] – vaz(117) – vaz(118) ",,1.0342,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,Jordão (Barra) - artificial,JORDAO,(só aparece em VAZOES.DAT),Jordão-Iguaçu,Iguaçu,S,Iguacu,FozdoJordao-PR,Operação,Artificial,,,,"70 = vaz(73) – min(vaz(73) – 10 m³/s; 173,5 m³/s)",,,
71,STA CLARA PR (71),S,STA CLARA PR,iguacu,71,,0.8133,71,71,19061,19061,71,,,,,,iguacu,71,71,STA CLARA PR,santa clara-pr,,,,,71,Iguacu,11,,,sta clara pr,santa clara-pr,SANTA CLARA-PR,,,-25.64611111,-51.95611111,"-25.64611111,-51.95611111",UHE Santa Clara PR,UHE Santa Clara PR (Rio Jordão),0,0,0,,71,Santa Clara PR,STA CLARA PR,SANTA CLARA-PR,Jordão,Iguaçu,S,Iguacu,Candoi-PR,Operação,Natural,Vazão obs.,,,,S,0.8133,
72,FUNDAO (72),S,FUNDÃO,iguacu,72,,0.8299,72,72,19062,19062,72,,,,,,iguacu,72,72,FUNDÃO,,71,71,,,72,Iguacu,11,,,fundão,fundão,FUNDÃO,,,-25.70083333,-52.00361111,"-25.70083333,-52.00361111",UHE Fundão,UHE Fundão (Rio Jordão),0,0,0,,72,Fundão,FUNDAO,FUNDÃO,Jordão-Iratim,Iguaçu,S,Iguacu,FozdoJordao-PR,Operação,Natural,Regredido,,,,,0.8299,
73,JORDAO (73),S,JORDÃO NAT.,iguacu,73,,0.0,,73,,19063,73,,,,,,iguacu,73,73,JORDÃO NAT.,jordão,72_71,76_72,,,73,Iguacu,11,,,jordão nat.,jordão,JORDÃO,,,-25.75722222,-52.08638889,"-25.75722222,-52.08638889",RES Jordão,RES Jordão (Rio Jordão),0,0,0,,73,Jordão (Barra),,JORDÃO,Jordão-Iguaçu,Iguaçu,S,Iguacu,FozdoJordao-PR,Operação,Natural,Vazão obs.,,,,S,0,
74,G.B. MUNHOZ (74),S,FOZ DO AREIA,iguacu,74,,1.1477,74,74,19059,19059,74,,,,,,iguacu,74,74,FOZ DO AREIA,g. b. munhoz,,,,,74,Iguacu,11,,,foz do areia,g. b. munhoz,G. B. MUNHOZ,,,-26.00944444,-51.66472222,"-26.00944444,-51.66472222",UHE Foz do Areia,UHE Foz do Areia (Rio Iguaçu),0,0,0,,74,Governador Bento Munhoz (Foz do Areia),G.B. MUNHOZ,G. B. MUNHOZ,Iguaçu,Iguaçu,S,Iguacu,Pinhao-PR,Operação,Natural,Vazão obs.,,,,S,1.1477,
75,,S,SEGREDO ART.,,,,1.0242,,,,,,,,,,,,,75,SEGREDO,,,,,,75,,,,,,,,,,,,,,,,1,0,,75,Segredo (Governador Ney Aminthas de Barros Braga) - artificial,SEGREDO,(só aparece em VAZOES.DAT),Iguaçu,Iguaçu,S,Iguacu,Mangueirinha-PR,Operação,Artificial,,,,"75 = vaz(76) + min(vaz(73) – 10 m³/s ; 173,5 m³/s)",,1.0242,
76,SEGREDO (76),S,SEGREDO NAT.,iguacu,76,,0.0,76,76,19060,19060,76,,,,,,iguacu,76,,,segredo,,,,,76,Iguacu,11,,,segredo nat.,segredo,SEGREDO,,,-25.79222222,-52.11638889,"-25.79222222,-52.11638889",UHE Segredo,UHE Segredo (Rio Iguaçu),0,0,0,,76,Segredo (Governador Ney Aminthas de Barros Braga),,SEGREDO,Iguaçu,Iguaçu,S,Iguacu,Mangueirinha-PR,Operação,Natural,Regredido,,,,,0,
77,SLT.SANTIAGO (77),S,SLT SANTIAGO,iguacu,77,,0.9233,,77,,19064,77,,,,,,iguacu,77,77,SLT SANTIAGO,salto santiago,76_73,73_76,,,77,Iguacu,11,,,slt santiago,salto santiago,SALTO SANTIAGO,,,-25.62777778,-52.60805556,"-25.62777778,-52.60805556",UHE Salto Santiago,UHE Salto Santiago (Rio Iguaçu),0,0,0,,77,Salto Santiago,SLT.SANTIAGO,SALTO SANTIAGO,Iguaçu,Iguaçu,S,Iguacu,SaudadedoIguacu-PR,Operação,Natural,Vazão obs.,,,,S,0.9233,
78,SALTO OSORIO (78),S,SALTO OSORIO,iguacu,78,,0.6307,,78,,19065,78,,,,,,iguacu,78,78,SALTO OSORIO,,77,77,,,78,Iguacu,11,,,salto osorio,salto osorio,SALTO OSORIO,,,-25.53694444,-53.00777778,"-25.53694444,-53.00777778",UHE Salto Osório,UHE Salto Osório (Rio Iguaçu),0,0,0,,78,Salto Osório,SALTO OSORIO,SALTO OSORIO,Iguaçu,Iguaçu,S,Iguacu,QuedasdoIguacu-PR,Operação,Natural,Regredido,,,,,0.6307,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,São João - expansão,,(só aparece em VAZOES.DAT),Chopim,Iguaçu,S,Iguacu,HonorioSerpa-PR,Expansão,Natural,,,,,,,
81,BAIXO IGUACU (81),,,,,,,,,,,,,,,,,,,,,,,,,,81,Iguacu,,,,Baixo Iguacu,,,,,,,,,,,,,,81,Baixo Iguaçu - expansão,BAIXO IGUACU,(só aparece em VAZOES.DAT),Iguaçu,Iguaçu,S,Iguacu,CapitaoLeonidasMarques-PR,Expansão,Natural,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,Cachoeirinha - expansão,,(só aparece em VAZOES.DAT),Chopim,Iguaçu,S,Iguacu,Clevelandia-PR,Expansão,Natural,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,Pai-Querê - expansão,,(só aparece em VAZOES.DAT),Pelotas,Uruguai,S,Sul,BomJesus-RS,Expansão,Natural,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,São Roque - expansão,,(só aparece em VAZOES.DAT),Canoas,Uruguai,S,Sul,SaoJosedoCerrito-SC,Expansão,Natural,,,,,,,
89,GARIBALDI (89),S,GARIBALDI,uruguai,89,,0.3848,89,89,19147,19147,89,,,,,,uruguai,89,89,GARIBALDI,garibaldi,,,,,89,Uruguai,2,,,garibaldi,garibaldi,GARIBALDI,,,-27.62472222,-50.98388889,"-27.62472222,-50.98388889",UHE Garibaldi,UHE Garibaldi (Rio Canoas),0,0,0,,89,Garibaldi,GARIBALDI,GARIBALDI,Canoas,Uruguai,S,Sul,AbdonBatista-SC,Expansão,Natural,Regredido,,,,,0.3848,
92,ITA (92),S,ITÁ,uruguai,92,,0.9186,92,92,19070,19070,92,,,,,,uruguai,92,92,ITÁ,,217,217,,,92,Uruguai,2,,,itá,itá,ITÁ,,,-27.28222222,-52.38555556,"-27.28222222,-52.38555556",UHE Itá,UHE Itá (Rio Uruguai),,0,0,,92,Itá,ITA,ITÁ,Uruguai,Uruguai,S,Sul,Ita-SC,Operação,Natural,Vazão obs.,,,,S,0.9186,
93,PASSO FUNDO (93),S,PASSO FUNDO ,uruguai,93,,2.2427,93,93,19071,19071,93,,,,,,uruguai,93,93,PASSO FUNDO ,passo fundo,,,,,93,Uruguai,2,,,passo fundo ,passo fundo,PASSO FUNDO,,,-27.55388889,-52.74083333,"-27.55388889,-52.74083333",UHE Passo Fundo,UHE Passo Fundo (Rio Passo Fundo),0,0,0,,93,Passo Fundo,PASSO FUNDO,PASSO FUNDO,Passo Fundo,Uruguai,S,Sul,PassoFundo-RS,Operação,Natural,Vazão obs.,,,,N,2.2427,
94,FOZ CHAPECO (94),S,FOZ CHAPECO,uruguai,94,,0.4589,94,94,19073,19073,94,,,,,,uruguai,94,94,FOZ CHAPECO,,217_93,92_220,,,94,Uruguai,2,,,foz do chapecó,foz chapeco,FOZ CHAPECO,,,-27.13972222,-53.04750000,"-27.13972222,-53.04750000",UHE Foz do Chapecó,UHE Foz do Chapecó (Rio Uruguai),0,0,0,,94,Foz do Chapecó,FOZ CHAPECO,FOZ CHAPECO,Uruguai,Uruguai,S,Sul,AguasdeChapeco-SC,Operação,Natural,Regredido,,,,,0.4589,
97,MONTE CLARO (97),S,MONTE CLARO,jacui,97,,0.3601,97,97,19082,19082,97,,,,,,jacui,97,97,MONTE CLARO,,,98,,,97,Jacui,2,,,monte claro,monte claro,MONTE CLARO,,,-29.02361111,-51.53222222,"-29.02361111,-51.53222222",UHE Monte Claro,UHE Monte Claro (Rio das Antas),0,0,0,,97,Monte Claro,MONTE CLARO,MONTE CLARO,Taquari-Antas,Jacuí,S,Sul,BentoGoncalves-RS,Operação,Natural,Regredido,,,,,0.3601,
98,CASTRO ALVES (98),S,CASTRO ALVES,jacui,98,,0.7585,98,98,19081,19081,98,,,,,,jacui,98,98,CASTRO ALVES,,,,,,98,Jacui,2,,,castro alves,castro alves,CASTRO ALVES,,,-29.00444444,-51.38416667,"-29.00444444,-51.38416667",UHE Castro Alves,UHE Castro Alves (Rio das Antas),0,0,0,,98,Castro Alves,CASTRO ALVES,CASTRO ALVES,Taquari-Antas,Jacuí,S,Sul,BentoGoncalves-RS,Operação,Natural,Vazão obs.,,,,N,0.7585,
99,ESPORA (99),SE,ESPORA,paranaiba,99,,0.3995,99,99,19033,19033,99,,,,,,paranaiba,99,99,ESPORA,espora,,,,,99,Paranaiba,10,,,espora,espora,ESPORA,,,-18.67805556,-51.86888889,"-18.67805556,-51.86888889",UHE Espora,UHE Espora (Rio Corrente),0,0,0,,99,Espora,ESPORA,ESPORA,Corrente,Paranaíba,SE,Parana,Serranopolis-GO,Operação,Natural,Vazão obs.,,,,N,0.3995,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Cubatão - expansão,,(só aparece em VAZOES.DAT),Cubatão,Itajaí-Açu,S,Sul,Joinville-SC,Expansão,Natural,,,,,,,
101,SALTO PILAO (101),S,SALTO PILAO,itajai-acu,101,,1.7836,101,101,19085,19085,101,,,,,,itajai,101,101,SALTO PILAO,,,,,,101,itajai-acu,2,,,salto pilao,salto pilao,SALTO PILAO,,,-27.13611111,-49.52027778,"-27.13611111,-49.52027778",UHE Salto Pilão,UHE Salto Pilão (Rio Itajaí),0,0,0,,101,Salto Pilão,SALTO PILAO,SALTO PILAO,Itajaí-Açu,Itajaí-Açu,S,Sul,Lontras-SC,Operação,Natural,Vazão obs.,,,,N,1.7836,
102,SAO JOSE (102),S,SÃO JOSÉ,uruguai,102,,0.1985,102,102,19075,19075,102,,,,,,uruguai,102,102,SÃO JOSÉ,,,,,,102,Uruguai,2,,,são josé,sao jose,SAO JOSE,,,-28.17694444,-54.81333333,"-28.17694444,-54.81333333",UHE São José,UHE São José (Rio Ijuí),0,0,0,,102,São José,SAO JOSE,SAO JOSE,Ijuí,Uruguai,S,Sul,CerroLargo-RS,Operação,Natural,Vazão obs.,,,,N,0.1985,
103,PASSO SAO JOAO (103),S,PASSO SÃO JOÃO,uruguai,103,,0.2629,103,103,19149,19149,103,,,,,,uruguai,103,103,PASSO SÃO JOÃO,,,102,,,103,Uruguai,2,,,passo sao joao,passo sao joao,PASSO SAO JOAO,,,-28.14083333,-55.05194444,"-28.14083333,-55.05194444",UHE Passo São João,UHE Passo São João (Rio Ijuí),0,0,0,,103,Passo São João,PASSO S JOAO,PASSO SAO JOAO,Ijuí,Uruguai,S,Sul,RoqueGonzales-RS,Operação,Natural,Regredido,,,,,0.2629,
104,,SE,TRAIÇÃO,alto tiete,104,,0.0,,,,,,104,,,,,tiete,104,,,,118_117,109_117,,,104,Tiete,1,,,traição,,,,,-23.59550000,-46.69433333,"-23.59550000,-46.69433333",UEL Traição,UEL Traição (Rio Pinheiros),0,0,1,,104,Traição - usina elevatória,,TRAIÇÃO,Pinheiros,Tietê,SE,Sudeste,RibeiraoPires-SP,Operação,Natural,Calculado,1,,vazoes(104) = vazoes(117) + vazoes(118),,,
109,,SE,PEDREIRA,alto tiete,109,,0.0,,,,,,109,,,,,tiete,109,,,,118,118,,,109,Tiete,1,,,pedreira,,,,,-23.70333333,-46.67388889,"-23.70333333,-46.67388889",UEL Pedreira,UEL Pedreira (Rio Pinheiros),0,0,1,,109,Pedreira - usina elevatória,,PEDREIRA,Pinheiros,Tietê,SE,Sudeste,SaoPaulo-SP,Operação,Natural,Calculado,1,,109 (t) = 118 (t),,,
110,ERNESTINA (110),S,ERNESTINA,jacui,110,,0.0,110,110,19076,19076,110,,,,,,jacui,110,110,ERNESTINA,ernestina,,,,,110,Jacui,2,,,ernestina,ernestina,ERNESTINA,,,-28.55333333,-52.54555556,"-28.55333333,-52.54555556",RES Ernestina,RES Ernestina (Rio Jacuí),0,0,0,,110,Ernestina,ERNESTINA,ERNESTINA,Jacuí,Jacuí,S,Sul,PassoFundo-RS,Operação,Natural,Regredido,,,,,0,
111,PASSO REAL (111),S,PASSO REAL  ,jacui,111,,0.3797,111,111,19077,19077,111,,,,,,jacui,111,111,PASSO REAL  ,passo real,110,110,,,111,Jacui,2,,,passo real  ,passo real,PASSO REAL,,,-29.01527778,-53.18722222,"-29.01527778,-53.18722222",UHE Passo Real,UHE Passo Real (Rio Jacuí),0,0,0,,111,Passo Real,PASSO REAL,PASSO REAL,Jacuí,Jacuí,S,Sul,SaltodoJacui-RS,Operação,Natural,Vazão obs.,,,,N,0.3797,
112,JACUI (112),S,JACUI       ,jacui,112,,0.8282,112,112,19078,19078,112,,,,,,jacui,112,112,JACUI       ,,111,111,,,112,Jacui,2,,,jacui       ,jacui,JACUI,,,-29.07916667,-53.22500000,"-29.07916667,-53.22500000",UHE Jacuí,UHE Jacuí (Rio Jacuí),0,0,0,,112,Jacuí,JACUI,JACUI,Jacuí,Jacuí,S,Sul,SaltodoJacui-RS,Operação,Natural,Regredido,,,,,0.8282,
113,ITAUBA (113),S,ITAUBA      ,jacui,113,,0.8259,113,113,19079,19079,113,,,,,,jacui,113,113,ITAUBA      ,,111,112,,,113,Jacui,2,,,itauba      ,itauba,ITAUBA,,,-29.25888889,-53.23611111,"-29.25888889,-53.23611111",UHE Itaúba,UHE Itaúba (Rio Jacuí),0,0,0,,113,Itaúba,ITAUBA,ITAUBA,Jacuí,Jacuí,S,Sul,PinhalGrande-RS,Operação,Natural,Regredido,,,,,0.8259,
114,D. FRANCISCA (114),S,D.FRANCISCA,jacui,114,,0.3432,114,114,19080,19080,114,,,,,,jacui,114,114,D.FRANCISCA,,111,113,,,114,Jacui,2,,,d.francisca,d. francisca,D. FRANCISCA,,,-29.44944444,-53.28333333,"-29.44944444,-53.28333333",UHE Dona Francisca,UHE Dona Francisca (Rio Jacuí),0,0,0,,114,Dona Francisca,D. FRANCISCA,D. FRANCISCA,Jacuí,Jacuí,S,Sul,NovaPalma-RS,Operação,Natural,Regredido,,,,,0.3432,
115,G.P. SOUZA (115),S,CAP.CACH.   ,capivari,115,,6.5259,115,115,19084,19084,115,,,,,,capivari,115,115,CAP.CACH.   ,g. p. souza,,,,,115,capivari,2,,,cap.cach.   ,g. p. souza,G. P. SOUZA,,,-25.13944444,-48.87388889,"-25.13944444,-48.87388889",UHE Capivari/Cachoeira,UHE Capivari/Cachoeira (Rio Capivari),0,0,0,,115,Governador Pedro Viriato Parigot de Souza (Capivari-Cachoeira),G.P. SOUZA,G. P. SOUZA,Capivari-Cachoeira,Capivari,S,Sul,Antonina-PR,Operação,Natural,Vazão obs.,,,,N,6.5259,
116,PEDRAS (116),SE,PEDRAS,alto tiete,116,,0.0,,,,,116,,,,,,tiete,116,,,,118,118,,,116,Tiete,1,,,pedras,henry borden,HENRY BORDEN,,,-23.875269,-46.452485,,,,0,0,1,,116,Henry Borden,,(só aparece em VAZOES.DAT),Rio das Pedras,Tietê,SE,Sudeste,RiachoGrande-SP,Operação,Natural,Regredido,,,116 (t) = 119 (t) - 118 (t),,,
117,GUARAPIRANGA (117),SE,GUARAPIRANGA,alto tiete,117,,0.0,117,117,19037,19037,117,,,,,,tiete,117,,,guarapiranga,,,,,117,Tiete,1,,,guarapiranga,guarapiranga,GUARAPIRANGA,,,-23.67238889,-46.72688889,"-23.67238889,-46.72688889",RES Guarapiranga,RES Guarapiranga (Rio Guarapiranga),0,0,0,,117,Guarapiranga - reservatório,GUARAPIRANGA,GUARAPIRANGA,Guarapiranga,Tietê,SE,Sudeste,RibeiraoPires-SP,Operação,Natural,Vazão obs.,,,,N,,
118,BILLINGS (118),SE,BILLINGS,alto tiete,118,,0.0,118,118,19036,19036,118,,,,,,tiete,118,,,billings,,,,,118,Tiete,1,,,billings,billings,BILLINGS,,,-23.81855556,-46.52377778,"-23.81855556,-46.52377778",RES Billings,RES Billings (Rio das Pedras),0,0,0,,118,Billings - reservatório,,(só aparece em VAZOES.DAT),Pinheiros,Tietê,SE,Sudeste,RibeiraoPires-SP,Operação,Natural,Regredido,,,,,,
119,BILLINGS+PEDRAS (119),SE,BILLINGS + PEDRAS,alto tiete,119,,0.0,,,,,119,119,,,,,tiete,119,,,,,,,,119,Tiete,1,,,billings + pedras,,,,,,,,,,0,0,0,,119,Billings+Pedras - reservatório,,BILLINGS,Pinheiros-Pedras,Tietê,SE,Sudeste,RiachoGrande-SP,Operação,Natural,Vazão obs.,1,,"119 = (vaz(118) – 0,185) / 0,8103",N,,
120,JAGUARI (120),SE,JAGUARI,paraiba do sul,120,,0.5046,120,120,19092,19092,120,,,,,,paraiba do sul,120,120,JAGUARI,jaguari,,,,,120,ParaibaSul,1,,,jaguari,jaguari,JAGUARI,,,-23.19250000,-46.02138889,"-23.19250000,-46.02138889",UHE Jaguari,UHE Jaguari (Rio Jaguari),0,0,0,,120,Jaguari,JAGUARI,JAGUARI,Jaguari,Paraíba do Sul,SE,Sudeste,Jacarei-SP,Operação,Natural,Vazão obs.,,,,N,0.5046,
121,PARAIBUNA (121),SE,PARAIBUNA,paraiba do sul,121,,0.7003,121,121,19090,19090,121,,,,,,paraiba do sul,121,121,PARAIBUNA,paraibuna,,,,,121,ParaibaSul,1,,,paraibuna,paraibuna,PARAIBUNA,,,-23.41000000,-45.60055556,"-23.41000000,-45.60055556",UHE Paraibuna,UHE Paraibuna (Rio Paraíba do Sul),0,0,0,,121,Paraibuna,PARAIBUNA,PARAIBUNA,Paraibuna-Paraitinga,Paraíba do Sul,SE,Sudeste,Paraibuna-SP,Operação,Natural,Vazão obs.,,,,N,0.7003,
122,SANTA BRANCA (122),SE,SANTA BRANCA,paraiba do sul,122,,0.3524,122,122,19091,19091,122,,,,,,paraiba do sul,122,122,SANTA BRANCA,santa branca,121,121,,,122,ParaibaSul,1,,,santa branca,santa branca,SANTA BRANCA,,,-23.37416667,-45.87000000,"-23.37416667,-45.87000000",UHE Santa Branca,UHE Santa Branca (Rio Paraíba do Sul),0,0,0,,122,Santa Branca,SANTA BRANCA,SANTA BRANCA,Paraíba do Sul,Paraíba do Sul,SE,Sudeste,SantaBranca-SP,Operação,Natural,Regredido,,,,,0.3524,
123,FUNIL (123),SE,FUNIL,paraiba do sul,123,,0.5327,123,123,19093,19093,123,,,,,,paraiba do sul,123,123,FUNIL,funil,122_120,122_120,,,123,ParaibaSul,1,,,funil,funil,FUNIL,,,-22.52861111,-44.56694444,"-22.52861111,-44.56694444",UHE Funil,UHE Funil (Rio Paraíba do Sul),0,0,0,,123,Funil,FUNIL,FUNIL,Paraíba do Sul,Paraíba do Sul,SE,Sudeste,DoresdeGuanhaes-MG,Operação,Natural,Regredido,,,,,0.5327,
125,STA CECILIA (125),SE,STA. CECILIA,paraiba do sul,125,,0.0,125,125,19094,19094,125,,,,,,paraiba do sul,125,,,,123,123,,,125,ParaibaSul,1,,,sta. cecilia,,SANTA CECILIA,,,-22.48222222,-43.83888889,"-22.48222222,-43.83888889",UEL Santa Cecília,UEL Santa Cecília (Rio Paraíba do Sul),0,0,0,,125,Santa Cecília - usina elevatória,,SANTA CECILIA,Paraíba do Sul,Paraíba do Sul,SE,Sudeste,BarradoPirai-RJ,Operação,Natural,Vazão obs.,,,,N,,
,,SE,SIMPLÍCIO ART.,,,,0.9275,,,,,,,,,,,,,126,SIMPLÍCIO ART.,,,,,,126,,,,,,,,,,-21.92138889,-42.78972222,"-21.92138889,-42.78972222",UHE Simplício,UHE Simplício (Rio Paraíba do Sul),,1,0,,126,Simplício,SIMPLICIO,SIMPLICIO,Paraíba do Sul,Paraíba do Sul,SE,Sudeste,AlemParaiba-MG,Expansão,Artificial,,,,"if vazoes(127) <= 430; vazoes(126) = max(0, vazoes(127)-90); else vazoes(126) = 340; end
vazoes(131) = min(vazoes(315), 144)",,,
,,,ANTA ART.,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,0,1,0,,127,Anta - artificial,,(só aparece em VAZOES.DAT),Paraíba do Sul,Paraíba do Sul,SE,Sudeste,Chiador-MG,Expansão,Artificial,,,,vazoes(127) = vazoes(129) - vazoes(298) - vazoes(203) + vazoes(304),,,
129,ANTA (129),SE,ANTA NAT.,paraiba do sul,129,,0.0,129,129,19140,19140,129,,,,,,paraiba do sul,129,,,,,,,,129,ParaibaSul,1,,,anta nat.,anta,ANTA,,,-22.035205,-43.001422,,,,,0,0,,129,Anta,,ANTA,Paraíba do Sul,Paraíba do Sul,SE,Sudeste,Chiador-MG,Expansão,Natural,Regredido,,,,,,
130,ILHA POMBOS (130),SE,ILHA POMBOS NAT.,paraiba do sul,130,,0.0,130,130,19097,19097,130,,,,,,paraiba do sul,130,,,,,,,,130,ParaibaSul,1,,,ilha pombos nat.,ilha pombos,ILHA POMBOS,,,-21.84472222,-42.57916667,"-21.84472222,-42.57916667",UHE Ilha dos Pombos,UHE Ilha dos Pombos (Rio Paraíba do Sul),0,0,0,,130,Ilha dos Pombos,,ILHA POMBOS,Paraíba do Sul,Paraíba do Sul,SE,Sudeste,Carmo-RJ,Operação,Natural,Vazão obs.,,,,N,,
131,,SE,NILO PEÇANHA,,,,2.6330,,,,,,,,,,,,,131,NILO PEÇANHA,,,,,,131,,,,,,,,,,,,,,,,1,0,,131,Nilo Peçanha - artificial,NILO PECANHA,NILO PEÇANHA,Pirai,Paraíba do Sul,SE,Sudeste,Pirai-RJ,Operação,Artificial,,,,"vazoes(131) = min(vazoes(315), 144)", 144 m³/s),,2633
132,,,LAJES ART.,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,1,0,,132,Lajes - artificial,LAJES,(só aparece em VAZOES.DAT),Ribeirão das Lajes,Paraíba do Sul,SE,Sudeste,Pirai-RJ,Operação,Artificial,,,,"132 = vaz(202) + min(vaz(201),25) ", 25 m³/s) ,,
134,SALTO GRANDE (134),SE,SALTO GRANDE,doce,134,,0.7829,134,134,19107,19107,134,,,,,,doce,134,134,SALTO GRANDE,,,,,,134,Doce,1,,,salto grande,salto grande cm,SALTO GRANDE CM,,,-19.11555556,-42.72000000,"-19.11555556,-42.72000000",UHE Salto Grande MG,UHE Salto Grande MG (Rio Santo Antônio),0,0,0,,134,Salto Grande,SALTO GRANDE,SALTO GRANDE CM,Doce,Doce,SE,Sudeste,ConceicaodoMatoDentro-MG,Operação,Natural,Vazão obs.,,,,N,0.7829,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,Barra do Braúna,,(só aparece em VAZOES.DAT),Pomba,Paraíba do Sul,SE,Sudeste,Laranjal-MG,Operação,Natural,,,,,,,
141,BAGUARI (141),SE,BAGUARI,doce,141,,0.1623,141,141,19110,19110,141,,,,,,doce,141,141,BAGUARI,,263,149_263_183,,,141,Doce,1,,,baguari,baguari,BAGUARI,,,-19.02916667,-42.12972222,"-19.02916667,-42.12972222",UHE Baguari,UHE Baguari (Rio Doce),0,0,0,,141,Baguari,BAGUARI,BAGUARI,Doce,Doce,SE,Sudeste,GovernadorValadares-MG,Operação,Natural,Regredido,,,,,0.1623,
144,MASCARENHAS (144),SE,MASCARENHAS,doce,144,,0.1808,144,144,19112,19112,144,,,,,,doce,144,144,MASCARENHAS,,263,141,,,144,Doce,1,,,mascarenhas,mascarenhas,MASCARENHAS,,,-19.50000000,-40.92000000,"-19.50000000,-40.92000000",UHE Mascarenhas,UHE Mascarenhas (Rio Doce),0,0,0,,144,Mascarenhas,MASCARENHAS,MASCARENHAS,Doce,Doce,SE,Sudeste,BaixoGuandu-ES,Operação,Natural,Vazão obs.,,,,N,0.1808,
145,RONDON II (145),SE,RONDON II,amazonas,145,,0.5368,145,145,19138,19138,145,,,,,,amazonas,145,145,RONDON II,rondon ii,,,,,145,amazon,6,,,rondon 2,rondon ii,RONDON II,,,-11.9972222,-60.69722222,"-11.99722222,-60.69722222",UHE Rondon II,UHE Rondon II (Rio Comemoração),0,0,0,,145,Rondon 2,RONDON II,RONDON II,Comemoração,Amazonas,SE,Madeira,SaoMigueldoGuapore-RO,Operação,Natural,Vazão obs.,,,,N,0.5368,
148,AIMORES (148),SE,AIMORÉS,doce,148,,0.2471,148,148,19111,19111,148,,,,,,doce,148,148,AIMORÉS,,145,145,,,148,Doce,1,,,aimorés,aimores,AIMORES,,,-19.45333333,-41.09666667,"-19.45333333,-41.09666667",UHE Aimorés,UHE Aimorés (Rio Doce),0,0,0,,148,Aimorés,AIMORES,AIMORES,Doce,Doce,SE,Sudeste,Aimores-MG,Operação,Natural,Regredido,,,,,0.2471,
